Player,Split,Team,GP,GS,Min,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,TOV,PTS
Garrett Temple,G League Regular Season Stats,All Teams,63,55,34.8,4.9,11.6,.423,2.1,5.6,.372,2.6,3.4,.759,1.0,3.6,4.5,3.6,1.3,0.6,3.1,2.4,14.5
George Papagiannis,G League Regular Season Stats,RNO,33,30,30.6,6.1,11.9,.511,0.1,0.2,.429,1.3,1.7,.772,2.5,6.1,8.6,0.7,0.5,2.2,3.1,2.1,13.6
Brandon Paul,G League Regular Season Stats,All Teams,46,25,25.7,4.8,10.4,.465,2.0,5.2,.389,2.9,3.7,.792,0.7,3.7,4.4,1.8,1.2,0.5,2.2,2.0,14.6
Alfonzo McKinnie,G League Regular Season Stats,All Teams,73,57,30.4,5.8,11.8,.488,1.1,3.3,.331,2.1,3.1,.692,2.4,6.4,8.8,1.0,0.6,0.5,2.7,1.6,14.7
Lucas Nogueira,G League Regular Season Stats,All Teams,15,6,23.8,3.8,7.1,.533,0.2,0.9,.231,1.7,2.6,.641,2.7,4.8,7.5,2.3,0.7,1.8,2.8,1.8,9.5
KJ McDaniels,G League Regular Season Stats,All Teams,36,15,30.2,5.9,12.4,.471,1.6,4.8,.333,2.2,2.9,.767,2.0,5.1,7.1,2.0,1.1,1.6,2.6,2.4,15.5
Carrick Felix,G League Regular Season Stats,All Teams,48,34,24.3,3.5,8.1,.438,0.6,2.5,.252,1.7,2.8,.600,1.1,3.2,4.3,1.6,1.1,0.5,2.8,1.7,9.4
Tim Frazier,G League Regular Season Stats,MNE,49,47,34.6,5.5,11.6,.474,1.0,2.8,.370,3.9,4.9,.803,2.1,5.3,7.4,9.5,1.6,0.3,3.3,3.3,15.9
Mike Scott,G League Regular Season Stats,All Teams,13,11,28.5,6.4,13.8,.461,0.8,2.5,.312,2.6,3.4,.773,2.8,3.6,6.5,1.5,0.6,0.5,2.7,1.8,16.2
Kent Bazemore,G League Regular Season Stats,SAN,7,7,33.6,7.3,16.9,.432,2.0,6.6,.304,4.3,5.3,.811,1.1,5.4,6.6,3.0,3.7,1.0,3.1,2.9,20.9
DeAndre Bembry,G League Regular Season Stats,All Teams,10,8,29.4,5.9,11.3,.522,0.6,2.0,.300,1.8,3.1,.581,1.4,4.9,6.3,3.3,1.8,0.7,2.5,2.5,14.2
Ryan Kelly,G League Regular Season Stats,All Teams,21,17,36.9,8.2,16.9,.489,1.6,4.8,.340,7.0,8.6,.812,1.5,6.8,8.2,3.1,1.0,1.9,3.2,2.1,25.1
Mike Muscala,G League Regular Season Stats,All Teams,9,5,25.8,4.8,9.4,.506,0.9,1.8,.500,2.4,2.8,.880,2.7,4.1,6.8,1.6,0.7,1.0,2.2,1.9,12.9
Taurean Prince,G League Regular Season Stats,LIN,5,3,28.3,8.0,16.0,.500,1.6,4.2,.381,3.0,4.2,.714,1.2,6.4,7.6,2.2,1.6,0.8,3.0,2.8,20.6
Dennis Schroder,G League Regular Season Stats,BAK,6,6,34.0,5.8,12.2,.479,0.8,2.8,.294,4.5,6.3,.711,0.5,3.7,4.2,6.7,0.8,0.2,1.8,3.7,17.0
Avery Bradley,G League Regular Season Stats,MNE,9,6,32.2,6.3,14.0,.452,1.1,3.0,.370,3.3,3.9,.857,0.8,4.0,4.8,5.2,3.0,0.3,3.2,4.3,17.1
Jae Crowder,G League Regular Season Stats,TEX,2,2,43.4,9.0,20.5,.439,0.5,3.5,.143,4.0,6.0,.667,6.5,9.5,16.0,10.0,3.5,2.0,1.5,6.0,22.5
Gerald Green,G League Regular Season Stats,SBL,22,13,30.2,7.1,14.9,.480,2.7,6.0,.458,2.1,2.5,.839,0.6,4.0,4.6,1.6,1.1,0.3,2.2,2.3,19.1
Demetrius Jackson,G League Regular Season Stats,All Teams,49,29,32.4,5.6,12.5,.445,1.2,4.1,.302,2.8,3.5,.802,1.1,3.4,4.6,5.3,1.2,0.4,2.6,2.4,15.2
Jordan Mickey,G League Regular Season Stats,MNE,35,34,33.1,7.5,14.4,.525,0.6,1.5,.404,2.9,3.9,.748,2.5,7.2,9.7,1.4,0.8,3.8,2.6,2.3,18.6
Terry Rozier,G League Regular Season Stats,MNE,14,14,33.7,6.4,16.4,.393,1.8,5.3,.338,4.7,6.1,.776,1.4,5.0,6.4,8.0,1.9,0.1,2.1,2.7,19.4
Marcus Smart,G League Regular Season Stats,MNE,1,1,28.9,1.0,12.0,.083,0.0,8.0,.000,4.0,6.0,.667,0.0,5.0,5.0,7.0,4.0,1.0,2.0,4.0,6.0
James Young,G League Regular Season Stats,All Teams,59,51,32.3,6.6,14.9,.442,3.3,8.5,.391,3.5,4.5,.782,0.9,4.5,5.4,2.4,1.3,0.5,2.0,2.2,20.0
Isaiah Canaan,G League Regular Season Stats,All Teams,23,22,34.0,6.7,15.7,.429,3.3,8.9,.373,4.7,6.1,.771,0.9,3.0,3.9,8.1,0.7,0.2,1.9,3.4,21.5
Cristiano Felicio,G League Regular Season Stats,All Teams,13,13,31.6,7.2,12.2,.589,0.3,0.9,.333,2.0,2.5,.788,3.2,6.2,9.4,2.0,1.2,2.2,3.5,3.0,16.6
Jerian Grant,G League Regular Season Stats,WCB,2,2,41.6,9.5,21.0,.452,1.5,5.5,.273,6.5,8.0,.812,1.0,3.0,4.0,8.0,2.5,0.5,2.0,3.5,27.0
Cameron Payne,G League Regular Season Stats,All Teams,10,8,27.0,7.4,17.6,.420,2.4,7.1,.338,3.0,3.5,.857,0.3,3.6,3.9,5.5,1.8,0.2,2.0,2.1,20.2
Bobby Portis,G League Regular Season Stats,WCB,1,1,38.5,12.0,24.0,.500,1.0,4.0,.250,7.0,8.0,.875,6.0,3.0,9.0,3.0,1.0,3.0,4.0,3.0,32.0
Denzel Valentine,G League Regular Season Stats,WCB,3,3,39.4,9.3,18.7,.500,7.0,13.0,.538,2.7,3.0,.889,2.0,8.3,10.3,7.3,1.7,0.3,3.7,6.3,28.3
Paul Zipser,G League Regular Season Stats,WCB,5,5,36.6,5.4,13.4,.403,1.6,4.6,.348,4.0,4.6,.870,2.4,6.0,8.4,2.8,0.4,1.2,3.2,3.8,16.4
Kay Felder,G League Regular Season Stats,All Teams,21,20,33.6,8.5,19.2,.441,1.7,5.0,.346,4.8,5.8,.826,0.8,2.8,3.5,5.9,1.5,0.3,2.9,3.9,23.4
